"term1","term2","cooc","id"
"radicalism","foreign fighter",35,"foreign fighterradicalism"
"islamist","foreign fighter",32,"foreign fighterislamist"
"radicalism","islamist",22,"islamistradicalism"
"foreign fighter","conflict",7,"conflictforeign fighter"
"norms","foreign fighter",7,"foreign fighternorms"
"radicalism","conflict",6,"conflictradicalism"
"social media","foreign fighter",5,"foreign fightersocial media"
"radicalism","norms",5,"normsradicalism"
