"term1","term2","cooc","id"
"radicalism","lone actor",63,"lone actorradicalism"
"lone actor","internet",10,"internetlone actor"
"radicalism","internet",10,"internetradicalism"
"mental health","lone actor",6,"lone actormental health"
"radicalism","mental health",6,"mental healthradicalism"
"lone actor","justice",5,"justicelone actor"
"radicalism","justice",5,"justiceradicalism"
